"","tag","patterns","responses"
"1","greeting","Hi","Hello there. Tell me how are you feeling today?"
"2","greeting","Hey","Hello there. Tell me how are you feeling today?"
"3","greeting","Is anyone there?","Hello there. Tell me how are you feeling today?"
"4","greeting","Hi there","Hello there. Tell me how are you feeling today?"
"5","greeting","Hello","Hello there. Tell me how are you feeling today?"
"6","greeting","Hey there","Hello there. Tell me how are you feeling today?"
"7","greeting","Howdy","Hello there. Tell me how are you feeling today?"
"8","greeting","Hola","Hello there. Tell me how are you feeling today?"
"9","greeting","Bonjour","Hello there. Tell me how are you feeling today?"
"10","greeting","Konnichiwa","Hello there. Tell me how are you feeling today?"
"11","greeting","Guten tag","Hello there. Tell me how are you feeling today?"
"12","greeting","Ola","Hello there. Tell me how are you feeling today?"
"13","greeting","Hi","Hi there. What brings you here today?"
"14","greeting","Hey","Hi there. What brings you here today?"
"15","greeting","Is anyone there?","Hi there. What brings you here today?"
"16","greeting","Hi there","Hi there. What brings you here today?"
"17","greeting","Hello","Hi there. What brings you here today?"
"18","greeting","Hey there","Hi there. What brings you here today?"
"19","greeting","Howdy","Hi there. What brings you here today?"
"20","greeting","Hola","Hi there. What brings you here today?"
"21","greeting","Bonjour","Hi there. What brings you here today?"
"22","greeting","Konnichiwa","Hi there. What brings you here today?"
"23","greeting","Guten tag","Hi there. What brings you here today?"
"24","greeting","Ola","Hi there. What brings you here today?"
"25","greeting","Hi","Hi there. How are you feeling today?"
"26","greeting","Hey","Hi there. How are you feeling today?"
"27","greeting","Is anyone there?","Hi there. How are you feeling today?"
"28","greeting","Hi there","Hi there. How are you feeling today?"
"29","greeting","Hello","Hi there. How are you feeling today?"
"30","greeting","Hey there","Hi there. How are you feeling today?"
"31","greeting","Howdy","Hi there. How are you feeling today?"
"32","greeting","Hola","Hi there. How are you feeling today?"
"33","greeting","Bonjour","Hi there. How are you feeling today?"
"34","greeting","Konnichiwa","Hi there. How are you feeling today?"
"35","greeting","Guten tag","Hi there. How are you feeling today?"
"36","greeting","Ola","Hi there. How are you feeling today?"
"37","greeting","Hi","Great to see you. How do you feel currently?"
"38","greeting","Hey","Great to see you. How do you feel currently?"
"39","greeting","Is anyone there?","Great to see you. How do you feel currently?"
"40","greeting","Hi there","Great to see you. How do you feel currently?"
"41","greeting","Hello","Great to see you. How do you feel currently?"
"42","greeting","Hey there","Great to see you. How do you feel currently?"
"43","greeting","Howdy","Great to see you. How do you feel currently?"
"44","greeting","Hola","Great to see you. How do you feel currently?"
"45","greeting","Bonjour","Great to see you. How do you feel currently?"
"46","greeting","Konnichiwa","Great to see you. How do you feel currently?"
"47","greeting","Guten tag","Great to see you. How do you feel currently?"
"48","greeting","Ola","Great to see you. How do you feel currently?"
"49","greeting","Hi","Hello there. Glad to see you're back. What's going on in your world right now?"
"50","greeting","Hey","Hello there. Glad to see you're back. What's going on in your world right now?"
"51","greeting","Is anyone there?","Hello there. Glad to see you're back. What's going on in your world right now?"
"52","greeting","Hi there","Hello there. Glad to see you're back. What's going on in your world right now?"
"53","greeting","Hello","Hello there. Glad to see you're back. What's going on in your world right now?"
"54","greeting","Hey there","Hello there. Glad to see you're back. What's going on in your world right now?"
"55","greeting","Howdy","Hello there. Glad to see you're back. What's going on in your world right now?"
"56","greeting","Hola","Hello there. Glad to see you're back. What's going on in your world right now?"
"57","greeting","Bonjour","Hello there. Glad to see you're back. What's going on in your world right now?"
"58","greeting","Konnichiwa","Hello there. Glad to see you're back. What's going on in your world right now?"
